Date,Record Number,Record Type,Address,Description,Status,Unnamed: 6
03/24/2025,25440-01371,Enforcement/Housing Code Inspection/Exterior/General,"2436 MCGUFFEY RD, COLUMBUS OH 43211",While responding to a separate complaint Officer Meszaros observed occupied housing violations.,Active,
03/24/2025,25475-02075,Enforcement/Environmental Health/Occupied/Infestation,"2704 LAUFFER RAVINES DR, Columbus OH 43231",2704 LAUFFER RAVINES DR - caller states still having a problem with roaches in her unit (bathroom and living rooms areas had sightings);  states although was not home each time believes the maintenance crew was treating all the units not a contractor in the front part of the complex;  states her unit was treated several times since DEC 2024 but problem persists;  requesting to please investigate;  thank you,Active,
03/24/2025,25441-00497,Enforcement/Emergency Order/Interior/Water Off,"3016 E 12TH AVE, COLUMBUS OH 43219",Complainant stated that she has put other requests in the 311 system. Most pressing issue is no water.,Active,
03/24/2025,25440-01374,Enforcement/Housing Code Inspection/Structure/General,"1514 E LONG ST, Columbus OH 43203","1514 E LONG ST, 7 - The heat does work in the building, and they do turn it on but the residents have no control over it.... the apartment turns it on when it gets cold enough out. The issue the resident has is that since the 2nd year living there they must have adjusted the thermostat to where it only turns on when the outside temp is under 40 degrees and they are freezing inside of the apartment. Please inspect and assist with the issue. She has been dealing with this and complaining for years now. Thanks.",Active,
03/24/2025,25440-01366,Enforcement/Housing Code Inspection/Exterior/General,"2368 SOMERSWORTH DR N, COLUMBUS OH 43219",Exterior housing violations,Active,
03/24/2025,25451-00635,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"464 S WARREN AVE, COLUMBUS OH 43204",Vacant has garage that is open and unsecure.,Active,
03/24/2025,25470-02362,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"816 KEVIN DR, COLUMBUS OH 43224",PROHIBITED EXTERIOR STORAGE OF CONSTRUCTION MATERIALS IN THE DRIVEWAY,Active,
03/24/2025,25440-01372,Enforcement/Housing Code Inspection/Exterior/General,"2893 ONTARIO ST, COLUMBUS OH 43224",While responding to a separate complaint Officer Meszaros observed exterior housing violations.,Active,
03/24/2025,25440-01362,Enforcement/Housing Code Inspection/Structure/General,"1260 WORTHINGTON HEIGHTS BLVD, Columbus OH 43235",1260 WORTHINGTON HEIGHTS BLVD - chunks falling near cars,Active,
03/24/2025,25475-02077,Enforcement/Environmental Health/Occupied/Infestation,"91 ROSEBROOK CT, Columbus OH 43068","91 ROSEBROOK CT - Caller is reporting that her apartment complex Rosebrook Apartments are  trying to make her live in inhabitable conditions.Caller stated that there is a roach infestation in the home since she moved in her home address 91 ROSEBROOK CT in February.Caller stated that when she moved in before signing the lease everything looked good on the outside in and inside but says after signing the lease and getting her key, she found they tried to hid the roach traps in corners and closets.Caller stated that she reported the issue immediately but they have yet to resolve the issue. Stated that they have sprayed numerous times but what they are using is not working and because of whatever they are spraying she is unable to cook or eat in the home and has to live off of processed foods, says she is basically starving because she cant even cook in the home with this spraying.Stated that she requested that they please move her to a different unit and they told her they would but have not instead they are sort of trying to force her to remain in the inhabitable conditions while they keep trying treatments, please check.",Active,
03/24/2025,25440-01368,Enforcement/Housing Code Inspection/Exterior/General,"751 KIMBALL PL, COLUMBUS OH 43205",,Active,
03/24/2025,25451-00638,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"59 N PRINCETON AVE, COLUMBUS OH 43222",Unsecured vacant.,Active,
03/24/2025,25450-00637,Enforcement/Vacant Structure Inspection/Residential/Other,"276 E MORRILL AVE, Columbus OH 43207",276 E MORRILL AVE - all windows have been shattered. appears to have been an explosion?,Active,
03/24/2025,25440-01360,Enforcement/Housing Code Inspection/Interior/General,"376 ST CLAIR AVE, COLUMBUS OH 43203",Interior violations observed at the time of the inspection,Active,
03/24/2025,25442-00088,Enforcement/Housing Code Inspection/Graffiti/General,"1557 PARSONS AVE, COLUMBUS OH 43207",Graffiti,Active,
03/24/2025,25440-01373,Enforcement/Housing Code Inspection/Structure/General,"2091 LAKE CLUB TER, Columbus OH 43232","2091 LAKE CLUB TER, E - Resident lives on the 3rd floor and is having issues with squirrels in the ceiling. She has been calling for the last 3 weeks, and not getting any resolve. They are also falling in between the walls, scratching and making noise all through the night making it impossible to rest. Please inspect and assist as soon as possible. Thanks.",Active,
03/24/2025,25440-01363,Enforcement/Housing Code Inspection/Structure/General,"624 S HAMPTON RD, Columbus OH 43213",624 S HAMPTON RD - Resident reported the neighbors tree is covering the roof tress are growing into the power lines 624 S HAMPTON RD,Active,
03/24/2025,25440-01365,Enforcement/Housing Code Inspection/Structure/General,"5760 MILBANK RD, Columbus OH 43229","5760 MILBANK RD, C - Hello my name is Octavia MerrittI live at lakeside villas my address is 5760 Millbank Rd, Apt C, Columbus OH 43229I have been here a year and it has been nothing but a mess! I have been dealing with mice infection, roaches I had to call the fire department because my furnace caught fire and they came out and said the vents needed to be cleaned out and they never came to clean them! Today my ceiling is leaking and I have submitted a work order no response I have called the emergency line and no one has called me back or even came to fix the problem.How can I go about this issue I have included pictures and videos I had to get a cat to catch mice in my unit",Active,
03/24/2025,25440-01359,Enforcement/Housing Code Inspection/Structure/General,"2711 OSCEOLA AVE, Columbus OH 43211","2711 OSCEOLA AVE - Back in the fall  they city was planting new grass seed in front of my house.  They used a bobcat to add dirt and in doing so, tore up the bottom of my driveway.  My driveway is now deteriorating.  I feel the city should fix this.",Closed,
03/24/2025,25470-02357,Enforcement/Zoning Code Inspection/Cert of Zoning Clearance/NA,"454 S TERRACE AVE, COLUMBUS OH 43204",Property has prohibited exterior storage.,Active,
03/24/2025,25440-01370,Enforcement/Housing Code Inspection/Structure/General,"2212 GLENBROOK DR, Columbus OH 43232",2212 GLENBROOK DR - resident reports an infestation of fungus gnats in apartment. states there are dead bed bugs falling out of the vents.  states the windows do not open. states vents are painted shut. states sink is leaking and there is mold under the sink.,Active,
03/24/2025,25441-00496,Enforcement/Emergency Order/Interior/Water Off,"2236 HANNA DR, COLUMBUS OH 43211",Water off 3/19/2025 due to landlord unpaid bill,Active,
03/24/2025,25475-02072,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"464 S WARREN AVE, COLUMBUS OH 43204",Property has trash in the yard.,Active,
03/24/2025,25450-00636,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"464 S WARREN AVE, COLUMBUS OH 43204",Vacant not boarded.,Active,
03/24/2025,25440-01364,Enforcement/Housing Code Inspection/Structure/General,"612 S HAMPTON RD, Columbus OH 43213",612 S HAMPTON RD - Resident reported the neighbors tree is covering the roof tress are growing into the power lines 612 S HAMPTON RD,Active,
03/24/2025,25440-01361,Enforcement/Housing Code Inspection/Exterior/General,"454 S TERRACE AVE, COLUMBUS OH 43204",Property has gutters in disrepair.,Active,
03/23/2025,25440-01357,Enforcement/Housing Code Inspection/Structure/General,"4111 MAIZE RD, Columbus OH 43224",4111 MAIZE RD - There is a unsafe tree next to the driveway  on the car.,Active,
03/23/2025,25440-01353,Enforcement/Housing Code Inspection/Structure/General,"3007 CALUMET ST, Columbus OH 43202","3007 CALUMET ST - Building is in disrepair with rotting wood, peeling paint, missing gutters and rusted sills.",Active,
03/23/2025,25442-00087,Enforcement/Housing Code Inspection/Graffiti/General,"2546 INDIANOLA AVE, Columbus OH 43202",2546 INDIANOLA AVE - graffiti from the vandals,Active,
03/23/2025,25450-00634,Enforcement/Vacant Structure Inspection/Residential/Other,"960 SULLIVANT AVE, Columbus OH 43223","960 SULLIVANT AVE - Unsecure Vacant, front window open",Active,
03/23/2025,25442-00086,Enforcement/Housing Code Inspection/Graffiti/General,"520 E TOMPKINS ST, Columbus OH 43202",520 E TOMPKINS ST - Graffiti was spray painted on the side of the Dude Locker.,Active,
03/23/2025,25440-01358,Enforcement/Housing Code Inspection/Structure/General,"974 NORTHRIDGE RD, Columbus OH 43224",974 NORTHRIDGE RD - There is siding coming off the East side of the house.,Active,
03/23/2025,25440-01355,Enforcement/Housing Code Inspection/Structure/General,"4918 RIVER TRAIL CT, Columbus OH 43228",4918 RIVER TRAIL CT - invasion of privacy!! Has her cameras facing our home and our back yard! very uncomfortable especially since our small son plays outside. Please check out.,Closed,
03/23/2025,25440-01356,Enforcement/Housing Code Inspection/Structure/General,"1156 E COOKE RD, Columbus OH 43224",1156 E COOKE RD - There is part of the fence missing. Even though the address is East Cooke Road you can see it on Maize Road.,Active,
03/23/2025,25440-01354,Enforcement/Housing Code Inspection/Structure/General,"1950 FAYMEADOW AVE, Columbus OH 43229",1950 FAYMEADOW AVE - The house is a small 3 bedroom rental. There is an unusual amount of cars parked in front of the house in the evenings. Generally about 6. The concern is about the number of unrelated(?) adults living a single family unit. Is this a code violation.?,Active,
03/22/2025,25440-01350,Enforcement/Housing Code Inspection/Structure/General,"250 LIBERTY ST, Columbus OH 43215",250 LIBERTY ST - Hi I am a tenant at Liberty apartments at 250 Liberty street in Columbus Ohio 43215. All of the tenants have the same issue of an electric bill being $500 and upwards electric bills. I am a divorces in a one bedroom apartment with a TV and no other appliances and my average bill is $700 dollars a month for electric. Is there a way we can have an inspection on our buildings? I think there is an electrical issue or out of date electrical wiring that is causing these astronomical bills. The owner paid my first two months bills which is an acknowledgment there is an issue but refuses to pay anything else.,Active,
03/22/2025,25440-01352,Enforcement/Housing Code Inspection/Structure/General,"4459 TOLBERT AVE, Columbus OH 43123",4459 TOLBERT AVE - this neighbor has had a nasty bed out there for over two weeks. I have called the city and they have done nothing about it. broken blinds house is unkept always trash in the yard.,Active,
03/22/2025,25440-01346,Enforcement/Housing Code Inspection/Structure/General,"694 E KOSSUTH ST, Columbus OH 43206",694 E KOSSUTH ST - The sidewalks on E Kossuth are all being repaired but for some reason the slab that is in front of 694 E Kossuth was missed. Can the city please repair this slab since all the other slabs have been repaired?,Active,
03/22/2025,25440-01348,Enforcement/Housing Code Inspection/Structure/General,"5337 BILBERRY LN, Columbus OH 43081",5337 BILBERRY LN - 5337 bilberry ln I hope this email finds you well. I am trying to figure out who to get ahold of or how to move forward with some concerns I have with my apartment and living conditions.  My husband and I live at Albany Landings Apartments and we have reached out to them regarding some concerns and many have been pushed to the side and not addressed or resolved. The most important being the possible black mold in our apartment. We have multiple pictures of what resembles black mold throughout the apartment and both of us have been sick multiple times since moving in. We have consistently had respiratory issues and skin irritation since living here. The longer we have been here the worse it’s getting. We emailed them about a month ago addressing our concerns and nothing but a walk through had been done where they told us all our issues would be resolved after we moved out following our lease.  My other concern was electrical. The maintenance person came to fix our light switches that stopped working and after being almost shocked and causing a huge spark stated when these apartments were updated the electrical wiring was Jerry - rigged. Thank you for your time and let me know if there is someone else I should be in contact with!,Active,
03/22/2025,25440-01351,Enforcement/Housing Code Inspection/Structure/General,"1539 SMITH RD, Columbus OH 43207",1539 SMITH RD - looks like the top of the front overhang is coming apart. see picture attached,Closed,
03/22/2025,25440-01345,Enforcement/Housing Code Inspection/Structure/General,"5621 CHERRY BOTTOM RD, Columbus OH 43230",5621 CHERRY BOTTOM RD - being held up with orange ratchet strap,Active,
03/22/2025,25440-01349,Enforcement/Housing Code Inspection/Structure/General,"1266 PRIMROSE PL, Columbus OH 43212",1266 PRIMROSE PL - Cracked sidewalk needs repair.,Closed,
03/22/2025,25440-01347,Enforcement/Housing Code Inspection/Structure/General,"81 N EUREKA AVE, Columbus OH 43204",81 N EUREKA AVE - ELECTRIC IS HALF UPDATED AND TIED INTO THE KNOB AND TUB CAUSING UNSAFE ELECTRICAL CONDITIONS. CONCERNED FOR THE TENANTS SAFETY BECAUSE OF THE FIRE HAZARD,Active,
03/21/2025,25440-01336,Enforcement/Housing Code Inspection/Exterior/General,"26 AUBURN AVE, COLUMBUS OH 43205",Exterior housing violations.,Active,
03/21/2025,25440-01329,Enforcement/Housing Code Inspection/Structure/General,"363 S OGDEN AVE, Columbus OH 43204",363 S OGDEN AVE - These pathetic animals and their equally pathetic buildings. this garage is falling apart and I’m sick of looking at it.,Active,
03/21/2025,25440-01333,Enforcement/Housing Code Inspection/Structure/General,"217 E NORTHWOOD AVE, Columbus OH 43201","Thank you for scheduling your tour of Rumpke’s state-of-the-art recycling facility in Columbus, OH. -  The garage behind 217 E. Northwood Ave. is not structurally sound and appears as though it is about to fall over.2124151",Closed,
03/21/2025,25442-00083,Enforcement/Housing Code Inspection/Graffiti/General,"422 E LANE AVE, COLUMBUS OH 43201",Graffiti on occupied structure,Active,
03/21/2025,25442-00085,Enforcement/Housing Code Inspection/Graffiti/General,"1350 N HIGH ST, Columbus OH 43201","1350 N HIGH ST - 1350 N High St Columbus, OH 43201Every year the front of this store is a problem. People selling drugs to kids. Women being robbed. There are older and disabled people living across the street who get beaten up and robbed. The problems are already starting. People are lurking outside Krogers front door for hours at a time.",Active,
03/21/2025,25450-00628,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"1128 E 24TH AVE, COLUMBUS OH 43211",vacant housing violations,Active,
03/21/2025,25440-01335,Enforcement/Housing Code Inspection/Structure/General,"2243 SUMMIT ST, Columbus OH 43202",2243 SUMMIT ST - The gutter has been hanging off of the house for a month and it looks like it might fly off eventually and hit something.,Closed,
03/21/2025,25440-01338,Enforcement/Housing Code Inspection/Exterior/General,"437 S 17TH ST, COLUMBUS OH 43205",Interior housing violations.,Active,
03/21/2025,25475-02007,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"139 S OAKLEY AVE, COLUMBUS OH 43204",TRASH PRESENT,Active,
03/21/2025,25440-01341,Enforcement/Housing Code Inspection/Structure/General,"303 WILSON AVE, Columbus OH 43205","299 wilson avenue - Caller is reporting that the apartments out in a new shower that is now flooding her bathroom as well as the upstairs apartment leaking into her home as well, says there is water damage all in the home.Caller stated that she has called them about this and they are not getting back to her with a response,  please check and address this issue.",Active,
03/21/2025,25440-01339,Enforcement/Housing Code Inspection/Interior/General,"3556 PROVIDENCE GLEN DR, COLUMBUS OH 43219",Interior housing violations,Active,
03/21/2025,25475-02039,Enforcement/Environmental Health/Occupied/Infestation,"3016 E 12TH AVE, Columbus OH 43219","3016 E 12TH AVE - Resident states she has a termite infestation inside her home and states they are eating her alive and the landlord refuses to do anything to help her and she is a amputee as well have can not live in the condition, please check",Active,
03/21/2025,25440-01331,Enforcement/Housing Code Inspection/Structure/General,"1608 COLE ST, Columbus OH 43205","1608 COLE ST, D - vacant and boarded up building with signs of squatting",Closed,
03/21/2025,25440-01332,Enforcement/Housing Code Inspection/Structure/General,"2872 ONTARIO ST, Columbus OH 43224",2872 ONTARIO ST - Caller state the tree on the property is complete dead and leaning onto another tree. Please investigate.,Active,
03/21/2025,25440-01342,Enforcement/Housing Code Inspection/Structure/General,"500 HAMILTON RD, Columbus OH 43230","500 HAMILTON RD - we have black mold and lead paint in our home, we've spoken to the rental office, and they act like they can be of no hope. weeks ago, we were told that they were going to find a plumber to get out here and address the situation instead they brought they maintenance and he told us the water from the tub was running into the kitchen because we needed a shower curtain and that absolutely wasn't the case. we spoke to the rental office today and they are still not talking about addressing the situation only moving us into a new unit in the same building. they said they didn't have a maintenance man anymore due to him being fired, they spoke about us staying here and fixing the problem but they saying they are going to have to rip down walls and it's just becoming a very unlivable situation and we have a one year old child that comes and visits occasionally with sickle cell and she was recently hospitalized with pneumonia because of the black mold that has acquired in the kitchen.",Active,
03/21/2025,25450-00627,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"427 N GARFIELD AVE, COLUMBUS OH 43203",Vacant structure violations observed at the property,Active,
03/21/2025,25441-00492,Enforcement/Emergency Order/Interior/Water Off,"4077 TORBERT WAY, COLUMBUS OH 43207",Water has been turned off since 2:30pm yesterday (3/20/25),Active,
03/21/2025,25470-02289,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"228 S OAKLEY AVE, COLUMBUS OH 43204",Vehicles parked in the yard,Active,
03/21/2025,25450-00632,Enforcement/Vacant Structure Inspection/Residential/Other,"1689 E MAIN ST, Columbus OH 43205",1689 E MAIN ST - yellow graffiti on black brick,Active,
03/21/2025,25470-02298,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"178 S OAKLEY AVE, COLUMBUS OH 43204",cars parked on grass in yard,Active,
03/21/2025,25442-00084,Enforcement/Housing Code Inspection/Graffiti/General,2607 BROAD,2607 W BROAD   GRAFFITI,Active,
03/21/2025,25440-01334,Enforcement/Housing Code Inspection/Exterior/General,"430 E 13TH AVE, COLUMBUS OH 43201",430 E 13th - Exterior conditions,PACE - Active,
03/21/2025,25450-00630,Enforcement/Vacant Structure Inspection/Residential/Other,"1362 E LIVINGSTON AVE, Columbus OH 43205",1362 E LIVINGSTON AVE - vacant building is in disrepair,Active,
03/21/2025,25440-01326,Enforcement/Housing Code Inspection/Structure/General,"757 MOON RD, UNIT A, Columbus OH 43224","757 MOON RD, A - Caller state the living room windows will not open in her apartment. Tenant made rental office aware they wont fix it and forcing her to move out by the end of March. Please investigate.",Active,
03/21/2025,25440-01343,Enforcement/Housing Code Inspection/Structure/General,"991 BRICKER BLVD, Columbus OH 43221",991 BRICKER BLVD - Broken sidewalk,Active,
03/21/2025,25470-02299,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"26 AUBURN AVE, COLUMBUS OH 43205",Improper exterior storage.,Active,
03/21/2025,25450-00633,Enforcement/Vacant Structure Inspection/Residential/Other,"229 COLLINS AVE, Columbus OH 43215",229 COLLINS AVE - resident reports there are two holes in the rear dormer on the third floor. it can be viewed from the alley to the west. squirrels have chewed the holes and are getting into this structure which appears to be vacant,Active,
03/21/2025,25440-01340,Enforcement/Housing Code Inspection/Structure/General,"1138 PEARWAY LN, Columbus OH 43228","1138 PEARWAY LN - Resident states they have been complaining about pest infestation in their unit since February 2024. Reports  the previous property manager was trying to resolve the issue,but left the company in November or December of 2024. States new management has done absolutely nothing about his complaints to resolve this problem. Please investigate. Thank you",Active,
03/21/2025,25440-01337,Enforcement/Housing Code Inspection/Exterior/General,"369 N ROOSEVELT AVE, COLUMBUS OH 43209",363-379 N Roosevelt Ave- Exterior housing violations.,Active,
03/21/2025,25440-01325,Enforcement/Housing Code Inspection/Exterior/General,"5421 LONSDALE PL N, COLUMBUS OH 43232","There is trash, garbage, and bulk furniture in and around the dumpster areas.",Active,
03/21/2025,25440-01327,Enforcement/Housing Code Inspection/Structure/General,"854 MANSFIELD AVE, Columbus OH 43219","854 MANSFIELD AVE - Tenant--On the side of home, going towards back yard, Caller states it once was a sidewalk.Its been eroded over time and is now just rocks--Caller states have made contact with landlord with so solution. please assist. Sidewalk on side leading to back",Active,
03/21/2025,25450-00629,Enforcement/Vacant Structure Inspection/Residential/Other,"647 LOCK AVE, Columbus OH 43207","647 LOCK AVE - Caller states since early Spring last year, the home has been gutted with plywood present at front door, is in disrepair, and looks like a shell of a home. Please assist.",Closed,
03/21/2025,25470-02276,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"1510 CHAUNCY RD, COLUMBUS OH 43219",Prohibited exterior Storage,Active,
03/21/2025,25440-01330,Enforcement/Housing Code Inspection/Structure/General,"552 LOCK AVE, Columbus OH 43207",552 LOCK AVE - The property owner also owns vacant parcels on both sides of this house.  There are routinely vehicles parked in grass of parcel to the west.  Also there is a garage as the only structure on that parcel.,Closed,
03/21/2025,25440-01344,Enforcement/Housing Code Inspection/Structure/General,"3016 E 12TH AVE, Columbus OH 43219","3016 E 12TH AVE - Resident called in stating she has a water leak in the area where her washer is and have to turn the water off when she is not using the washer because it leak, resident states her toilet runs and day and night, resident states there is a snake and possum breading in her back yard and has had this issue since she moved in and they are not doing anything about in, resident states her sink is stopped up and take forever to drain, please check",Active,
03/21/2025,25440-01328,Enforcement/Housing Code Inspection/Structure/General,"4673 GLENHAVEN DR, Columbus OH 43231","4673 GLENHAVEN DR - Mandatory ContactJose Garcia 6149576664Caller stated that he would like to be contacted when code comes out to inspect so that he can allow access to his yard at 2819 TRISTRAM PL for this issue to be seen.Caller is reporting this address 4673 GLENHAVEN DRIVE, says the fence came down 3 years ago and it is in very poor condition and they have really large dogs that are not secured properly also they have some holes in the backyard they use as some sort of disposal, please check.",Active,
03/21/2025,25441-00493,Enforcement/Emergency Order/Interior/Water Off,"4162 KERSHAW DR, COLUMBUS OH 43207",No water since 2:30pm yesterday (3/20/25),Active,
03/21/2025,25450-00626,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"2307 MARCIA DR, COLUMBUS OH 43211",Not boarded to code,Active,
03/21/2025,25440-01324,Enforcement/Housing Code Inspection/Structure/General,"1133 PENNSYLVANIA AVE, Columbus OH 43201","1133 PENNSYLVANIA AVE - Constant ruckus, people coming and going from the house all hours of the night. A few nights over the last few weeks they would leave their dog outside barking from 2-3am til almost 5 am. Suspected they are selling drugs again as Columbus SWAT raided the house a few months ago but they are back to business as usually.",Closed,
03/21/2025,25450-00631,Enforcement/Vacant Structure Inspection/Residential/Other,"1108 E LIVINGSTON AVE, Columbus OH 43205",1108 E LIVINGSTON AVE - vacant building is in disrepair,Active,
03/20/2025,25440-01307,Enforcement/Housing Code Inspection/Exterior/General,2261 MUIRWOOD,,Closed,
03/20/2025,25440-01290,Enforcement/Housing Code Inspection/Interior/General,"219 CLINTON ST, COLUMBUS OH 43202",OSU off campus safety inspection,Closed,
03/20/2025,25440-01320,Enforcement/Housing Code Inspection/Structure/General,"3106 ALLEGHENY AVE, Columbus OH 43209","3106 ALLEGHENY AVE, D - Lived there for 10 yearsMold on windows inside of them cant see anything out front of windows. Can only see thick white mold . they are saying they arent going to fix themUnexplained illnesses last 8 years. Please inspect Might point out more things to get fixed. 3106 ALLEGHENY AVE, D",Active,
03/20/2025,25440-01296,Enforcement/Housing Code Inspection/Structure/General,"5163 HAGAN CT, Columbus OH 43016",5163 HAGAN CT - Sidewalk damage due to the trees the city planted in the yards.  People are tripping over the sidewalk because it is raised and uneven.,Closed,
03/20/2025,25VAC-00620,Enforcement/Vacant Structure Inspection/Vacated/NA,"4858 WARMINSTER DR, COLUMBUS OH 43232",,Active,
03/20/2025,25440-01309,Enforcement/Housing Code Inspection/Structure/General,"298 S TERRACE AVE, Columbus OH 43204","298 S TERRACE AVE - The dirty street ""lady"" is back there giving stinky pinky in the garage and it's disgusting. The neighborhood is improving. Please board it up and move them back to Sullivant, or to the Mayor's lawn. He seems like a sleazy guy I bet he'd enjoy the show more than my kids.",Closed,
03/20/2025,25VAC-00621,Enforcement/Vacant Structure Inspection/Vacated/NA,"305 JOHNSON ST, COLUMBUS OH 43203",,Active,
03/20/2025,25450-00625,Enforcement/Vacant Structure Inspection/Residential/Other,"5278 HEATHMOOR ST, Columbus OH 43235",5278 HEATHMOOR ST - There is a missing soffit vent cover on the 2nd story that raccoons are using to enter the house.  I have seen 3 large raccoons climbing in the opening early in the morning. I have seen this more than once.,Active,
03/20/2025,25440-01323,Enforcement/Housing Code Inspection/Structure/General,"165 W NORTH BROADWAY, Columbus OH 43214","165 W NORTH BROADWAY - Flood light installed on the back of garage on 3/20/2025, shines through neighbors windows across the alley and does not shut off. Lights illuminate entire neighbors back yards at night as well.",Active,
03/20/2025,25440-01313,Enforcement/Housing Code Inspection/Exterior/General,"2957 E 11TH AVE, COLUMBUS OH 43219",Hole in front Yard,Active,
03/20/2025,25475-01982,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"1540 25TH AVE, COLUMBUS OH 43211",SW Vacant,Active,
03/20/2025,25440-01310,Enforcement/Housing Code Inspection/Structure/General,"2874 E 5TH AVE, Columbus OH 43219",2874 E 5TH AVE - Tree down in front yard,Active,
03/20/2025,25440-01322,Enforcement/Housing Code Inspection/Structure/General,"7201 ALMA TERRACE DR, Columbus OH 43054",7201 ALMA TERRACE DR - sidewalk is bubbled up. looks like tree was not planted correctly and possibly caused the issue.,Closed,
03/20/2025,25440-01306,Enforcement/Housing Code Inspection/Exterior/General,"4114 BROADVIEW CT, COLUMBUS OH 43230",Housing violations,Active,
03/20/2025,25440-01300,Enforcement/Housing Code Inspection/Exterior/General,"2687 COOPER RIDGE RD, COLUMBUS OH 43231",External housing violations,Active,
03/20/2025,25440-01315,Enforcement/Housing Code Inspection/Exterior/General,"1633 E HUDSON ST, COLUMBUS OH 43211",ext housing violations and environmental violations,Active,
03/20/2025,25475-01988,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"427 N GARFIELD AVE, COLUMBUS OH 43203",Solid waste on vacant property.  Original CAP 25470-02171,Active,
03/20/2025,25440-01294,Enforcement/Housing Code Inspection/Structure/General,"1201 NANTUCKET AVE, Columbus OH 43235","1201 NANTUCKET AVE - Trash outside of house and blowing into bushes and neighbors yard. When I approached to photograph, two rats (not mice) ran away and under the shed that is full of full garbage bags.",Active,
03/20/2025,25440-01318,Enforcement/Housing Code Inspection/Interior/General,"5317 EDGEWAY DR, COLUMBUS OH 43231",Housing violations,Active,
