Date,Record Number,Record Type,Address,Description,Status,Unnamed: 6
03/20/2025,25440-01305,Enforcement/Housing Code Inspection/Structure/General,"2460 JACKSON PIKE, Columbus OH 43223","2460 JACKSON PIKE - PRISONERS ARE COMPLAINING ABOUT MOLD, AND CHIP PAINT WHERE THEY SLEEP THEY FEEL THAT THE CONDITIONS ARE TERRIBLE",Active,
03/20/2025,25440-01311,Enforcement/Housing Code Inspection/Structure/General,"2577 NONA RD, Columbus OH 43207","2577 NONA RD - Caller states many violations in home, she would like a code office to inspect.Having issues with the Management maintenance saying they will fix things, and its not done properlyplease make contact soon",Active,
03/20/2025,25440-01316,Enforcement/Housing Code Inspection/Interior/General,"5004 LABELLE DR, COLUMBUS OH 43232",Missing smoke detectors,PACE - Active,
03/20/2025,25440-01308,Enforcement/Housing Code Inspection/Exterior/General,"2261 MUIRWOOD DR, COLUMBUS OH 43232",,Active,
03/20/2025,25450-00623,Enforcement/Vacant Structure Inspection/Residential/Other,"3240 E BROAD ST, Columbus OH 43209",3240 E BROAD ST - abandoned car wash with graffiti,Active,
03/20/2025,25450-00619,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"1259 E 24TH AVE, COLUMBUS OH 43211",ext housing violations - vacant,Active,
03/20/2025,25450-00624,Enforcement/Vacant Structure Inspection/Residential/Other,"1195 ACTON RD, Columbus OH 43224",1195 ACTON RD - this is a vacant burnt out property that lives were lost - CFD put all of the debris from inside the property in the front yard - resident is asking that is be cleaned,Closed,
03/20/2025,25475-01964,Enforcement/Environmental Health/Vacant Lot/NA,"1512 THOMAS AVE, Columbus OH 43223",1512 THOMAS AVE - Homeless man living in tent near alley and bushes at back of vacant lot,Closed,
03/20/2025,25440-01289,Enforcement/Housing Code Inspection/Interior/General,"1480 BURSTOCK RD, UNIT A, COLUMBUS OH 43206",interior violations,Active,
03/20/2025,25440-01319,Enforcement/Housing Code Inspection/Structure/General,"5373 SPIRE LN, Columbus OH 43232",5373 SPIRE LN - garage is falling down. Its a hazard as well as an eye sore.,Active,
03/20/2025,25440-01299,Enforcement/Housing Code Inspection/Exterior/General,"5617 COUNTRIE GLEN DR, COLUMBUS OH 43119",gutter hanging from structure,Active,
03/20/2025,25440-01295,Enforcement/Housing Code Inspection/Interior/General,"437 S 17TH ST, COLUMBUS OH 43205",Exterior housing violations.,Active,
03/20/2025,25440-01288,Enforcement/Housing Code Inspection/Interior/General,"2286 INDIANOLA AVE, COLUMBUS OH 43202",OSU off campus safety inspection,Closed,
03/20/2025,25440-01301,Enforcement/Housing Code Inspection/Structure/General,"1675 WOODSPRING DR, Columbus OH 43065","1675 WOODSPRING DR - there are severely damaged sidewalks all over the Woodbridge green neighborhood. At times it is dangerous to walk, often people are tripping over popped up sidewalks due to large trees that were planted by the city and exist between the street and sidewalk.",Closed,
03/20/2025,25451-00617,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"1250 E HUDSON ST, COLUMBUS OH 43211",1250 E. HUDSON ST - VACANT HOUSE NEEDS BOARDED UP AGAIN.  SMALL WINDOW NOT BOARDED AND IS NOW BUSTED OPEN.  PROPERTY OPEN/UNSECURED.  PLEASE CHECK.  PLEASE RE-PLACARD IF NEEDED.,Closed,
03/20/2025,25440-01287,Enforcement/Housing Code Inspection/Structure/General,"60 SCHULTZ AVE, Columbus OH 43222","60 SCHULTZ AVE - Sidewalk has been dug up for water issues and has been left unsafe (rocky, muddy, uneven gaping hole) for over 2 months",Closed,
03/20/2025,25440-01293,Enforcement/Housing Code Inspection/Structure/General,"739 KIMBALL PL, Columbus OH 43205",739 KIMBALL PL - A City tree branch fell in my yard and it needs to be disposed and the tree needs to be evaluated to determine if it is safe.,Active,
03/20/2025,25440-01286,Enforcement/Housing Code Inspection/Exterior/General,"1050 S KELLNER RD, COLUMBUS OH 43209",1050-1052 S Kellner Rd- Duplex with exterior violations.,Active,
03/20/2025,25440-01298,Enforcement/Housing Code Inspection/Structure/General,"1070 URANA AVE, Columbus OH 43224",1070 URANA AVE - 8 years ago a 2 foot diameter branch fell from this tree onto my house located next door. Recently large branches have been falling from the obviously dead silver maple tree onto my driveway and the street/sidewalk. These block not only the sidewalk but also parts of the street. This causes high concern for debris hitting cars on my property.,Active,
03/20/2025,25440-01297,Enforcement/Housing Code Inspection/Structure/General,"2894 SHILLING DR, Columbus OH 43232","2894 SHILLING DR - Resident reports her mother, Erika Hatton, lives at the Winchester Oaks Apartments. Her mother just had surgery so daughter, Mary Tanksley, 6149730331, will handle scheduling inspect. Resident reports nothing has improved since the time her mother has reported apartment complex. States the ceiling is leaking and getting worse. States they sent someone to look at it, said they would be back to repair and never came back. States there is mold in apartment and her mother is getting sick. The roof is damaged. States there is no one on premises.",Active,
03/20/2025,25440-01304,Enforcement/Housing Code Inspection/Structure/General,"1810 LAFAYETTE PL, Columbus OH 43212","1810 LAFAYETTE PL, B12 - Resident states there is an uncovered gap above his door and the birds attack him when he enters his home. There are exposed wires directly below the gap as well. The flooded his apartment while trying to fix the washer. There is mold in the bathroom ceiling that has been there for at least a month. He reached out in October and has not responded. Please investigate.",Active,
03/20/2025,25450-00622,Enforcement/Vacant Structure Inspection/Residential/Other,"3167 ADIRONDACK AVE, Columbus OH 43231","3167 ADIRONDACK AVE - Caller states house was burned down, Wanting to know what is going to be done now. The property looks a mess with debris in the yardPlease address",Closed,
03/20/2025,25440-01302,Enforcement/Housing Code Inspection/Exterior/General,"1043 DRAYSON DR, COLUMBUS OH 43119",fence in poor condition,Active,
03/20/2025,25475-01976,Enforcement/Environmental Health/Occupied/Infestation,"2441 MORSE CREEK DR, Columbus OH 43224","2441 MORSE CREEK DR - Resident reported there is Roach, mice infestation.No bath room door resident reported that management is not helping",Active,
03/20/2025,25440-01317,Enforcement/Housing Code Inspection/Structure/General,"2033 W BROAD ST, Columbus OH 43223","2033 W BROAD ST -  ongoing problem for several monthscaller states this building should be a secured building but the lock has been broken for several months and since then things have gotten BAD;  states homeless have broken it a lower ground level unit and have been doing drugs inside, sleeping and defecating in the common hallway/s at all hours of day and night;  states the hallway lighting on the lower level is not working and it very dark and dangerous;  tenants concerned that management is not doing anything;  please investigate --- access to building and common hallways are not secure and access is open to all;  thank you",Closed,
03/20/2025,25475-01959,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"1259 E 24TH AVE, COLUMBUS OH 43211",SW vacant,Active,
03/20/2025,25440-01312,Enforcement/Housing Code Inspection/Structure/General,"777 E 5TH AVE, Columbus OH 43201","777 E 5TH AVE - For a couple of months now there have been parking blocks on the sidewalk blocking full access of the sidewalk. A person on a wheelchair, most certainly can’t get through! The corner is also neglected!",Active,
03/20/2025,25440-01321,Enforcement/Housing Code Inspection/Structure/General,"4844 COLONEL PERRY DR, Columbus OH 43229","4844 COLONEL PERRY DR - tarp for a garage roof, no actual roof on the garage.",Closed,
03/20/2025,25440-01303,Enforcement/Housing Code Inspection/Structure/General,"750 W RICH ST, Columbus OH 43222","750 W RICH ST, 411 - Elevator has been out of order since March 8, 2025.",Active,
03/20/2025,25440-01291,Enforcement/Housing Code Inspection/Structure/General,"2846 S HIGH ST, Columbus OH 43207","2846 S HIGH ST - Rear yard has multiple vehicles on grass, fence has fallen, structure in disrepair, abandoned trampoline turned over.",Active,
03/20/2025,25440-01292,Enforcement/Housing Code Inspection/Structure/General,"2840 S HIGH ST, Columbus OH 43207","2840 S HIGH ST - Vacant house has violations, garage door damaged, missing rear fence, and tires.",Active,
03/24/2025,25440-01371,Enforcement/Housing Code Inspection/Exterior/General,"2436 MCGUFFEY RD, COLUMBUS OH 43211",While responding to a separate complaint Officer Meszaros observed occupied housing violations.,Active,
03/24/2025,25475-02075,Enforcement/Environmental Health/Occupied/Infestation,"2704 LAUFFER RAVINES DR, Columbus OH 43231",2704 LAUFFER RAVINES DR - caller states still having a problem with roaches in her unit (bathroom and living rooms areas had sightings);  states although was not home each time believes the maintenance crew was treating all the units not a contractor in the front part of the complex;  states her unit was treated several times since DEC 2024 but problem persists;  requesting to please investigate;  thank you,Active,
03/24/2025,25441-00497,Enforcement/Emergency Order/Interior/Water Off,"3016 E 12TH AVE, COLUMBUS OH 43219",Complainant stated that she has put other requests in the 311 system. Most pressing issue is no water.,Active,
03/24/2025,25440-01374,Enforcement/Housing Code Inspection/Structure/General,"1514 E LONG ST, Columbus OH 43203","1514 E LONG ST, 7 - The heat does work in the building, and they do turn it on but the residents have no control over it.... the apartment turns it on when it gets cold enough out. The issue the resident has is that since the 2nd year living there they must have adjusted the thermostat to where it only turns on when the outside temp is under 40 degrees and they are freezing inside of the apartment. Please inspect and assist with the issue. She has been dealing with this and complaining for years now. Thanks.",Active,
03/24/2025,25440-01366,Enforcement/Housing Code Inspection/Exterior/General,"2368 SOMERSWORTH DR N, COLUMBUS OH 43219",Exterior housing violations,Active,
03/24/2025,25451-00635,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"464 S WARREN AVE, COLUMBUS OH 43204",Vacant has garage that is open and unsecure.,Active,
03/24/2025,25470-02362,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"816 KEVIN DR, COLUMBUS OH 43224",PROHIBITED EXTERIOR STORAGE OF CONSTRUCTION MATERIALS IN THE DRIVEWAY,Active,
03/24/2025,25440-01372,Enforcement/Housing Code Inspection/Exterior/General,"2893 ONTARIO ST, COLUMBUS OH 43224",While responding to a separate complaint Officer Meszaros observed exterior housing violations.,Active,
03/24/2025,25440-01362,Enforcement/Housing Code Inspection/Structure/General,"1260 WORTHINGTON HEIGHTS BLVD, Columbus OH 43235",1260 WORTHINGTON HEIGHTS BLVD - chunks falling near cars,Active,
03/24/2025,25475-02077,Enforcement/Environmental Health/Occupied/Infestation,"91 ROSEBROOK CT, Columbus OH 43068","91 ROSEBROOK CT - Caller is reporting that her apartment complex Rosebrook Apartments are  trying to make her live in inhabitable conditions.Caller stated that there is a roach infestation in the home since she moved in her home address 91 ROSEBROOK CT in February.Caller stated that when she moved in before signing the lease everything looked good on the outside in and inside but says after signing the lease and getting her key, she found they tried to hid the roach traps in corners and closets.Caller stated that she reported the issue immediately but they have yet to resolve the issue. Stated that they have sprayed numerous times but what they are using is not working and because of whatever they are spraying she is unable to cook or eat in the home and has to live off of processed foods, says she is basically starving because she cant even cook in the home with this spraying.Stated that she requested that they please move her to a different unit and they told her they would but have not instead they are sort of trying to force her to remain in the inhabitable conditions while they keep trying treatments, please check.",Active,
03/24/2025,25440-01368,Enforcement/Housing Code Inspection/Exterior/General,"751 KIMBALL PL, COLUMBUS OH 43205",,Active,
03/24/2025,25451-00638,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"59 N PRINCETON AVE, COLUMBUS OH 43222",Unsecured vacant.,Active,
03/24/2025,25450-00637,Enforcement/Vacant Structure Inspection/Residential/Other,"276 E MORRILL AVE, Columbus OH 43207",276 E MORRILL AVE - all windows have been shattered. appears to have been an explosion?,Active,
03/24/2025,25440-01360,Enforcement/Housing Code Inspection/Interior/General,"376 ST CLAIR AVE, COLUMBUS OH 43203",Interior violations observed at the time of the inspection,Active,
03/24/2025,25442-00088,Enforcement/Housing Code Inspection/Graffiti/General,"1557 PARSONS AVE, COLUMBUS OH 43207",Graffiti,Active,
03/24/2025,25440-01373,Enforcement/Housing Code Inspection/Structure/General,"2091 LAKE CLUB TER, Columbus OH 43232","2091 LAKE CLUB TER, E - Resident lives on the 3rd floor and is having issues with squirrels in the ceiling. She has been calling for the last 3 weeks, and not getting any resolve. They are also falling in between the walls, scratching and making noise all through the night making it impossible to rest. Please inspect and assist as soon as possible. Thanks.",Active,
03/24/2025,25440-01363,Enforcement/Housing Code Inspection/Structure/General,"624 S HAMPTON RD, Columbus OH 43213",624 S HAMPTON RD - Resident reported the neighbors tree is covering the roof tress are growing into the power lines 624 S HAMPTON RD,Active,
03/24/2025,25440-01365,Enforcement/Housing Code Inspection/Structure/General,"5760 MILBANK RD, Columbus OH 43229","5760 MILBANK RD, C - Hello my name is Octavia MerrittI live at lakeside villas my address is 5760 Millbank Rd, Apt C, Columbus OH 43229I have been here a year and it has been nothing but a mess! I have been dealing with mice infection, roaches I had to call the fire department because my furnace caught fire and they came out and said the vents needed to be cleaned out and they never came to clean them! Today my ceiling is leaking and I have submitted a work order no response I have called the emergency line and no one has called me back or even came to fix the problem.How can I go about this issue I have included pictures and videos I had to get a cat to catch mice in my unit",Active,
03/24/2025,25440-01359,Enforcement/Housing Code Inspection/Structure/General,"2711 OSCEOLA AVE, Columbus OH 43211","2711 OSCEOLA AVE - Back in the fall  they city was planting new grass seed in front of my house.  They used a bobcat to add dirt and in doing so, tore up the bottom of my driveway.  My driveway is now deteriorating.  I feel the city should fix this.",Closed,
03/24/2025,25470-02357,Enforcement/Zoning Code Inspection/Cert of Zoning Clearance/NA,"454 S TERRACE AVE, COLUMBUS OH 43204",Property has prohibited exterior storage.,Active,
03/24/2025,25440-01370,Enforcement/Housing Code Inspection/Structure/General,"2212 GLENBROOK DR, Columbus OH 43232",2212 GLENBROOK DR - resident reports an infestation of fungus gnats in apartment. states there are dead bed bugs falling out of the vents.  states the windows do not open. states vents are painted shut. states sink is leaking and there is mold under the sink.,Active,
03/24/2025,25441-00496,Enforcement/Emergency Order/Interior/Water Off,"2236 HANNA DR, COLUMBUS OH 43211",Water off 3/19/2025 due to landlord unpaid bill,Active,
03/24/2025,25475-02072,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"464 S WARREN AVE, COLUMBUS OH 43204",Property has trash in the yard.,Active,
03/24/2025,25450-00636,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"464 S WARREN AVE, COLUMBUS OH 43204",Vacant not boarded.,Active,
03/24/2025,25440-01364,Enforcement/Housing Code Inspection/Structure/General,"612 S HAMPTON RD, Columbus OH 43213",612 S HAMPTON RD - Resident reported the neighbors tree is covering the roof tress are growing into the power lines 612 S HAMPTON RD,Active,
03/24/2025,25440-01361,Enforcement/Housing Code Inspection/Exterior/General,"454 S TERRACE AVE, COLUMBUS OH 43204",Property has gutters in disrepair.,Active,
03/23/2025,25440-01357,Enforcement/Housing Code Inspection/Structure/General,"4111 MAIZE RD, Columbus OH 43224",4111 MAIZE RD - There is a unsafe tree next to the driveway  on the car.,Active,
03/23/2025,25440-01353,Enforcement/Housing Code Inspection/Structure/General,"3007 CALUMET ST, Columbus OH 43202","3007 CALUMET ST - Building is in disrepair with rotting wood, peeling paint, missing gutters and rusted sills.",Active,
03/23/2025,25442-00087,Enforcement/Housing Code Inspection/Graffiti/General,"2546 INDIANOLA AVE, Columbus OH 43202",2546 INDIANOLA AVE - graffiti from the vandals,Active,
03/23/2025,25450-00634,Enforcement/Vacant Structure Inspection/Residential/Other,"960 SULLIVANT AVE, Columbus OH 43223","960 SULLIVANT AVE - Unsecure Vacant, front window open",Active,
03/23/2025,25442-00086,Enforcement/Housing Code Inspection/Graffiti/General,"520 E TOMPKINS ST, Columbus OH 43202",520 E TOMPKINS ST - Graffiti was spray painted on the side of the Dude Locker.,Active,
03/23/2025,25440-01358,Enforcement/Housing Code Inspection/Structure/General,"974 NORTHRIDGE RD, Columbus OH 43224",974 NORTHRIDGE RD - There is siding coming off the East side of the house.,Active,
03/23/2025,25440-01355,Enforcement/Housing Code Inspection/Structure/General,"4918 RIVER TRAIL CT, Columbus OH 43228",4918 RIVER TRAIL CT - invasion of privacy!! Has her cameras facing our home and our back yard! very uncomfortable especially since our small son plays outside. Please check out.,Closed,
03/23/2025,25440-01356,Enforcement/Housing Code Inspection/Structure/General,"1156 E COOKE RD, Columbus OH 43224",1156 E COOKE RD - There is part of the fence missing. Even though the address is East Cooke Road you can see it on Maize Road.,Active,
03/23/2025,25440-01354,Enforcement/Housing Code Inspection/Structure/General,"1950 FAYMEADOW AVE, Columbus OH 43229",1950 FAYMEADOW AVE - The house is a small 3 bedroom rental. There is an unusual amount of cars parked in front of the house in the evenings. Generally about 6. The concern is about the number of unrelated(?) adults living a single family unit. Is this a code violation.?,Active,
03/22/2025,25440-01350,Enforcement/Housing Code Inspection/Structure/General,"250 LIBERTY ST, Columbus OH 43215",250 LIBERTY ST - Hi I am a tenant at Liberty apartments at 250 Liberty street in Columbus Ohio 43215. All of the tenants have the same issue of an electric bill being $500 and upwards electric bills. I am a divorces in a one bedroom apartment with a TV and no other appliances and my average bill is $700 dollars a month for electric. Is there a way we can have an inspection on our buildings? I think there is an electrical issue or out of date electrical wiring that is causing these astronomical bills. The owner paid my first two months bills which is an acknowledgment there is an issue but refuses to pay anything else.,Active,
03/22/2025,25440-01352,Enforcement/Housing Code Inspection/Structure/General,"4459 TOLBERT AVE, Columbus OH 43123",4459 TOLBERT AVE - this neighbor has had a nasty bed out there for over two weeks. I have called the city and they have done nothing about it. broken blinds house is unkept always trash in the yard.,Active,
03/22/2025,25440-01346,Enforcement/Housing Code Inspection/Structure/General,"694 E KOSSUTH ST, Columbus OH 43206",694 E KOSSUTH ST - The sidewalks on E Kossuth are all being repaired but for some reason the slab that is in front of 694 E Kossuth was missed. Can the city please repair this slab since all the other slabs have been repaired?,Active,
03/22/2025,25440-01348,Enforcement/Housing Code Inspection/Structure/General,"5337 BILBERRY LN, Columbus OH 43081",5337 BILBERRY LN - 5337 bilberry ln I hope this email finds you well. I am trying to figure out who to get ahold of or how to move forward with some concerns I have with my apartment and living conditions.  My husband and I live at Albany Landings Apartments and we have reached out to them regarding some concerns and many have been pushed to the side and not addressed or resolved. The most important being the possible black mold in our apartment. We have multiple pictures of what resembles black mold throughout the apartment and both of us have been sick multiple times since moving in. We have consistently had respiratory issues and skin irritation since living here. The longer we have been here the worse it’s getting. We emailed them about a month ago addressing our concerns and nothing but a walk through had been done where they told us all our issues would be resolved after we moved out following our lease.  My other concern was electrical. The maintenance person came to fix our light switches that stopped working and after being almost shocked and causing a huge spark stated when these apartments were updated the electrical wiring was Jerry - rigged. Thank you for your time and let me know if there is someone else I should be in contact with!,Active,
03/22/2025,25440-01351,Enforcement/Housing Code Inspection/Structure/General,"1539 SMITH RD, Columbus OH 43207",1539 SMITH RD - looks like the top of the front overhang is coming apart. see picture attached,Closed,
03/22/2025,25440-01345,Enforcement/Housing Code Inspection/Structure/General,"5621 CHERRY BOTTOM RD, Columbus OH 43230",5621 CHERRY BOTTOM RD - being held up with orange ratchet strap,Active,
03/22/2025,25440-01349,Enforcement/Housing Code Inspection/Structure/General,"1266 PRIMROSE PL, Columbus OH 43212",1266 PRIMROSE PL - Cracked sidewalk needs repair.,Closed,
03/22/2025,25440-01347,Enforcement/Housing Code Inspection/Structure/General,"81 N EUREKA AVE, Columbus OH 43204",81 N EUREKA AVE - ELECTRIC IS HALF UPDATED AND TIED INTO THE KNOB AND TUB CAUSING UNSAFE ELECTRICAL CONDITIONS. CONCERNED FOR THE TENANTS SAFETY BECAUSE OF THE FIRE HAZARD,Active,
03/21/2025,25440-01336,Enforcement/Housing Code Inspection/Exterior/General,"26 AUBURN AVE, COLUMBUS OH 43205",Exterior housing violations.,Active,
03/21/2025,25440-01329,Enforcement/Housing Code Inspection/Structure/General,"363 S OGDEN AVE, Columbus OH 43204",363 S OGDEN AVE - These pathetic animals and their equally pathetic buildings. this garage is falling apart and I’m sick of looking at it.,Active,
03/21/2025,25440-01333,Enforcement/Housing Code Inspection/Structure/General,"217 E NORTHWOOD AVE, Columbus OH 43201","Thank you for scheduling your tour of Rumpke’s state-of-the-art recycling facility in Columbus, OH. -  The garage behind 217 E. Northwood Ave. is not structurally sound and appears as though it is about to fall over.2124151",Closed,
03/21/2025,25442-00083,Enforcement/Housing Code Inspection/Graffiti/General,"422 E LANE AVE, COLUMBUS OH 43201",Graffiti on occupied structure,Active,
03/21/2025,25442-00085,Enforcement/Housing Code Inspection/Graffiti/General,"1350 N HIGH ST, Columbus OH 43201","1350 N HIGH ST - 1350 N High St Columbus, OH 43201Every year the front of this store is a problem. People selling drugs to kids. Women being robbed. There are older and disabled people living across the street who get beaten up and robbed. The problems are already starting. People are lurking outside Krogers front door for hours at a time.",Active,
03/21/2025,25450-00628,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"1128 E 24TH AVE, COLUMBUS OH 43211",vacant housing violations,Active,
03/21/2025,25440-01335,Enforcement/Housing Code Inspection/Structure/General,"2243 SUMMIT ST, Columbus OH 43202",2243 SUMMIT ST - The gutter has been hanging off of the house for a month and it looks like it might fly off eventually and hit something.,Closed,
03/21/2025,25440-01338,Enforcement/Housing Code Inspection/Exterior/General,"437 S 17TH ST, COLUMBUS OH 43205",Interior housing violations.,Active,
03/21/2025,25475-02007,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"139 S OAKLEY AVE, COLUMBUS OH 43204",TRASH PRESENT,Active,
03/21/2025,25440-01341,Enforcement/Housing Code Inspection/Structure/General,"303 WILSON AVE, Columbus OH 43205","299 wilson avenue - Caller is reporting that the apartments out in a new shower that is now flooding her bathroom as well as the upstairs apartment leaking into her home as well, says there is water damage all in the home.Caller stated that she has called them about this and they are not getting back to her with a response,  please check and address this issue.",Active,
03/21/2025,25440-01339,Enforcement/Housing Code Inspection/Interior/General,"3556 PROVIDENCE GLEN DR, COLUMBUS OH 43219",Interior housing violations,Active,
03/21/2025,25475-02039,Enforcement/Environmental Health/Occupied/Infestation,"3016 E 12TH AVE, Columbus OH 43219","3016 E 12TH AVE - Resident states she has a termite infestation inside her home and states they are eating her alive and the landlord refuses to do anything to help her and she is a amputee as well have can not live in the condition, please check",Active,
03/21/2025,25440-01331,Enforcement/Housing Code Inspection/Structure/General,"1608 COLE ST, Columbus OH 43205","1608 COLE ST, D - vacant and boarded up building with signs of squatting",Closed,
03/21/2025,25440-01332,Enforcement/Housing Code Inspection/Structure/General,"2872 ONTARIO ST, Columbus OH 43224",2872 ONTARIO ST - Caller state the tree on the property is complete dead and leaning onto another tree. Please investigate.,Active,
03/21/2025,25440-01342,Enforcement/Housing Code Inspection/Structure/General,"500 HAMILTON RD, Columbus OH 43230","500 HAMILTON RD - we have black mold and lead paint in our home, we've spoken to the rental office, and they act like they can be of no hope. weeks ago, we were told that they were going to find a plumber to get out here and address the situation instead they brought they maintenance and he told us the water from the tub was running into the kitchen because we needed a shower curtain and that absolutely wasn't the case. we spoke to the rental office today and they are still not talking about addressing the situation only moving us into a new unit in the same building. they said they didn't have a maintenance man anymore due to him being fired, they spoke about us staying here and fixing the problem but they saying they are going to have to rip down walls and it's just becoming a very unlivable situation and we have a one year old child that comes and visits occasionally with sickle cell and she was recently hospitalized with pneumonia because of the black mold that has acquired in the kitchen.",Active,
03/21/2025,25450-00627,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"427 N GARFIELD AVE, COLUMBUS OH 43203",Vacant structure violations observed at the property,Active,
03/21/2025,25441-00492,Enforcement/Emergency Order/Interior/Water Off,"4077 TORBERT WAY, COLUMBUS OH 43207",Water has been turned off since 2:30pm yesterday (3/20/25),Active,
03/21/2025,25470-02289,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"228 S OAKLEY AVE, COLUMBUS OH 43204",Vehicles parked in the yard,Active,
03/21/2025,25450-00632,Enforcement/Vacant Structure Inspection/Residential/Other,"1689 E MAIN ST, Columbus OH 43205",1689 E MAIN ST - yellow graffiti on black brick,Active,
03/21/2025,25470-02298,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"178 S OAKLEY AVE, COLUMBUS OH 43204",cars parked on grass in yard,Active,
03/21/2025,25442-00084,Enforcement/Housing Code Inspection/Graffiti/General,2607 BROAD,2607 W BROAD   GRAFFITI,Active,
03/21/2025,25440-01334,Enforcement/Housing Code Inspection/Exterior/General,"430 E 13TH AVE, COLUMBUS OH 43201",430 E 13th - Exterior conditions,PACE - Active,
03/21/2025,25450-00630,Enforcement/Vacant Structure Inspection/Residential/Other,"1362 E LIVINGSTON AVE, Columbus OH 43205",1362 E LIVINGSTON AVE - vacant building is in disrepair,Active,
03/21/2025,25440-01326,Enforcement/Housing Code Inspection/Structure/General,"757 MOON RD, UNIT A, Columbus OH 43224","757 MOON RD, A - Caller state the living room windows will not open in her apartment. Tenant made rental office aware they wont fix it and forcing her to move out by the end of March. Please investigate.",Active,
03/21/2025,25440-01343,Enforcement/Housing Code Inspection/Structure/General,"991 BRICKER BLVD, Columbus OH 43221",991 BRICKER BLVD - Broken sidewalk,Active,
03/21/2025,25470-02299,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"26 AUBURN AVE, COLUMBUS OH 43205",Improper exterior storage.,Active,
03/21/2025,25450-00633,Enforcement/Vacant Structure Inspection/Residential/Other,"229 COLLINS AVE, Columbus OH 43215",229 COLLINS AVE - resident reports there are two holes in the rear dormer on the third floor. it can be viewed from the alley to the west. squirrels have chewed the holes and are getting into this structure which appears to be vacant,Active,
